Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1423800
Finite Time (ns): ,3000,,Fuzzy Time (ns): ,1765600
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1826200
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1755600
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,2840600
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,1816000
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1802400
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1752100
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1808600
Finite Time (ns): ,3000,,Fuzzy Time (ns): ,1759200
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1784100
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1777300
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1798900
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1867200
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1951300
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1856500
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1887300
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1755800
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1939000
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1926800
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1772600
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1889400
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1765300
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1833100
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1757000
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,3013700
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1765200
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1781200
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1748100
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,1773200
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1775800
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1766000
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1823500
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1739700
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,2080800
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1933400
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1748600
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1758900
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1759000
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,1842800
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1757100
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,2069100
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1389100
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1619100
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1338700
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1283000
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1348800
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1260300
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,788500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,781800
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,941800
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,790000
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,789100
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,798500
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,775200
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,828000
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,784500
